  0.0000000000    0.4550000000 
  0.0100000000    0.1000000000    174    199 
  0.0000000000    0.0277241753    0.0554159308    0.0830441532    0.1105860519
  0.1380075305    0.1652915529    0.1924219009    0.2193870841    0.2461802201
  0.2727987775    0.2992439245    0.3255202139    0.3516348522    0.3775971214
  0.4034177822    0.4291085009    0.4546813055    0.4801480708    0.5055200297
  0.5308073072    0.5560039249    0.5811408795    0.6062112434    0.6312162121
  0.6561538903    0.6810190565    0.7058030295    0.7304936714    0.7550755521
  0.7795303022    0.8038371608    0.8279737112    0.8519167714    0.8756433841
  0.8991318269    0.9223625521    0.9453190266    0.9679726470    0.9903357329
  1.0123934079    1.0341427337    1.0555830624    1.0767149763    1.0975390478
  1.1180547515    1.1382598182    1.1581426456    1.1777122946    1.1969448909
  1.2157093653    1.2333360196    1.2480282640   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
  0.0000000000    0.0232626642    0.0465151687    0.0697475712    0.0929503544
  0.1161146184    0.1392322481    0.1622960516    0.1852998658    0.2082387800
  0.2311084177    0.2539062000    0.2766304721    0.2992805027    0.3218566279
  0.3443600176    0.3667925862    0.3891568601    0.4114558350    0.4336928245
  0.4558713018    0.4779947362    0.5000664260    0.5220893273    0.5440658811
  0.5659978403    0.5878860974    0.6097305172    0.6315173897    0.6532652388
  0.6749602403    0.6965965388    0.7181666410    0.7396614030    0.7610700744
  0.7823804042    0.8035788163    0.8246506534    0.8455804857    0.8663524750
  0.8869507771    0.9073599646    0.9275654432    0.9475538922    0.9673133961
  0.9868339608    1.0061074988    1.0251278898    1.0438909379    1.0623811837
  1.0806152678    1.0985864093    1.1162949944    1.1337414609    1.1509257244
  1.1678466278    1.1845013585    1.2008853465    1.2169918641    1.2328061222
  1.2483266990    1.2635323805    1.2783808468    1.2927407940    1.3062229778
  1.3180706354   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
  0.0000000000    0.0202559092    0.0405085476    0.0607546823    0.0809911557
  0.1012149216    0.1214230798    0.1416129084    0.1617818925    0.1819277505
  0.2020484557    0.2221422530    0.2422076715    0.2622380111    0.2822418803
  0.3022143248    0.3221549969    0.3420637683    0.3619407395    0.3817862103
  0.4016006437    0.4213846251    0.4411388150    0.4608638974    0.4805605222
  0.5002292440    0.5198704567    0.5394843238    0.5590707070    0.5786290921
  0.5981585144    0.6176574846    0.6371239169    0.6565550615    0.6759474436
  0.6952968115    0.7145980977    0.7338342001    0.7530173722    0.7721313543
  0.7911676100    0.8101168667    0.8289692085    0.8477142030    0.8663410481
  0.8848387434    0.9031962774    0.9214028237    0.9394479399    0.9573218072
  0.9750152378    0.9925200525    1.0098372792    1.0269448139    1.0438452086
  1.0605346302    1.0770102817    1.0932652880    1.1093120886    1.1251437796
  1.1407611244    1.1561518275    1.1713362077    1.1863086355    1.2010701351
  1.2156211982    1.2299616759    1.2440904497    1.2580053478    1.2717030324
  1.2851789577    1.2984273251    1.3114359647    1.3242045456    1.3367178165
  1.3489550123    1.3608727957    1.3723703564    1.3832310098    1.3931334648
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
  0.0000000000    0.0180938934    0.0361869128    0.0542781875    0.0723668539
  0.0904520592    0.1085329651    0.1266087520    0.1446786238    0.1627418119
  0.1807975803    0.1988452302    0.2168841049    0.2349135939    0.2529331366
  0.2709422664    0.2889404733    0.3069273884    0.3248921224    0.3428530405
  0.3608013540    0.3787368056    0.3966591661    0.4145682225    0.4324637644
  0.4503455670    0.4682133724    0.4860668674    0.5039056592    0.5217292487
  0.5395370016    0.5573281167    0.5751015943    0.5928562013    0.6105904371
  0.6283024985    0.6459902459    0.6636511707    0.6812823648    0.6988804945
  0.7164417785    0.7339619721    0.7514363585    0.7688597492    0.7862264933
  0.8035304978    0.8207652590    0.8379239061    0.8549898054    0.8719701557
  0.8888511030    0.9056248071    0.9222834327    0.9388192501    0.9552247366
  0.9714927290    0.9876163339    1.0035892638    1.0194057626    1.0350607036
  1.0505578444    1.0658780510    1.0810254170    1.0959975797    1.1107928661
  1.1254102585    1.1398493466    1.1541102675    1.1681936354    1.1821004619
  1.1958320704    1.2093888945    1.2227796617    1.2359915474    1.2490384358
  1.2619180861    1.2746316600    1.2871799797    1.2995634303    1.3117818923
  1.3238346893    1.3357205576    1.3474376040    1.3589833718    1.3703547722
  1.3815480969    1.3925543109    1.4033760260    1.4140033411    1.4244262659
  1.4346283085    1.4445792029    1.4542216821    1.4634553856    1.4721517260
  1.4802984703   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
  0.0000000000    0.0164648510    0.0329297022    0.0493945509    0.0658593886
  0.0823241985    0.0987889527    0.1152536104    0.1317181155    0.1481823958
  0.1646463616    0.1811099047    0.1975728986    0.2140351983    0.2304966405
  0.2469570445    0.2634162468    0.2798739838    0.2963300501    0.3127842042
  0.3292361910    0.3456857414    0.3621209268    0.3785623204    0.3949999635
  0.4114334612    0.4278623882    0.4442862829    0.4607046411    0.4771169082
  0.4935224698    0.5099206416    0.5263106574    0.5426916568    0.5590626704
  0.5754226057    0.5917702305    0.6081041569    0.6244228239    0.6407244809
  0.6570071704    0.6732687116    0.6895066859    0.7057184224    0.7219009866
  0.7380511713    0.7541654904    0.7702401769    0.7862711849    0.8022636936
  0.8181947317    0.8340682147    0.8498790351    0.8656218835    0.8812912814
  0.8968816218    0.9123794694    0.9277968305    0.9431188360    0.9583399736
  0.9734481699    0.9884452848    1.0033246419    1.0180814297    1.0327111705
  1.0472097575    1.0615734890    1.0757990957    1.0898837589    1.1038325584
  1.1176299496    1.1312807427    1.1447839208    1.1581388908    1.1713454588
  1.1844038012    1.1973144306    1.2100781593    1.2226960590    1.2351694196
  1.2474997062    1.2596885168    1.2717375114    1.2836484417    1.2954230212
  1.3070651813    1.3185697676    1.3299450074    1.3411899671    1.3523057733
  1.3632933325    1.3741533092    1.3848860842    1.3954917973    1.4059702778
  1.4163210774    1.4265434689    1.4366364595    1.4465987745    1.4564289321
  1.4661250495    1.4756807595    1.4851010748    1.4943799396    1.5035133234
  1.5124954674    1.5213176590    1.5299657089    1.5384166670    1.5466344458
  1.5545706867    1.5621930581   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
 -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000   -3.0000000000
