  0.0000000000    0.4550000000 
  0.0100000000    0.1000000000    174    199 
  0.0736931794    0.0736713401    0.0736064317    0.0735002504    0.0733540449
  0.0731740000    0.0729636773    0.0727281898    0.0724730248    0.0722038653
  0.0719264346    0.0716463688    0.0713691199    0.0710998858    0.0708435671
  0.0706047429    0.0703876646    0.0701962605    0.0700341497    0.0699046604
  0.0698108506    0.0697552165    0.0697407929    0.0697697086    0.0698440741
  0.0699657767    0.0701364678    0.0703575413    0.0706301002    0.0709549129
  0.0713323589    0.0717623664    0.0722443418    0.0727770965    0.0733587695
  0.0739867497    0.0746575966    0.0753669579    0.0761091384    0.0768779325
  0.0776652929    0.0784616847    0.0792555323    0.0800325383    0.0807745488
  0.0814575971    0.0820484418    0.0824973858    0.0827272710    0.0826103470
  0.0819451642    0.0805389862    0.0786308619    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0885914356    0.0885815011    0.0885519417    0.0885034829    0.0884373132
  0.0883550539    0.0882587192    0.0881506696    0.0880335596    0.0879083002
  0.0877811879    0.0876539795    0.0875299185    0.0874122778    0.0873043197
  0.0872092623    0.0871302513    0.0870703389    0.0870324676    0.0870194586
  0.0870340059    0.0870786721    0.0871558892    0.0872679594    0.0874170591
  0.0876052420    0.0878344436    0.0881064839    0.0884228970    0.0887855338
  0.0891957474    0.0896548794    0.0901641373    0.0907245820    0.0913371115
  0.0920024410    0.0927210802    0.0934933087    0.0943191494    0.0951983416
  0.0961303147    0.0971141636    0.0981486253    0.0992320588    0.1003624260
  0.1015372750    0.1027537222    0.1040084332    0.1052975991    0.1066166387
  0.1079608433    0.1093245421    0.1107013268    0.1120837917    0.1134632304
  0.1148291590    0.1161685648    0.1174646890    0.1186950692    0.1198278583
  0.1208169039    0.1215924870    0.1220498194    0.1220488173    0.1214938776
  0.1205707633    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.1033942099    0.1033917793    0.1033846021    0.1033730200    0.1033575979
  0.1033391152    0.1033185563    0.1032970970    0.1032760898    0.1032570468
  0.1032416220    0.1032315921    0.1032288376    0.1032339996    0.1032513276
  0.1032818905    0.1033277727    0.1033910695    0.1034738734    0.1035782606
  0.1037062800    0.1038599441    0.1040412208    0.1042520277    0.1044942269
  0.1047696219    0.1050799551    0.1054269065    0.1058120929    0.1062370677
  0.1067033208    0.1072122788    0.1077653047    0.1083636973    0.1090086896
  0.1097014471    0.1104430642    0.1112343670    0.1120765863    0.1129704347
  0.1139166534    0.1149158749    0.1159686119    0.1170752463    0.1182360171
  0.1194510090    0.1207201412    0.1220431574    0.1234196169    0.1248488879
  0.1263301411    0.1278623471    0.1294444760    0.1310747152    0.1327515972
  0.1344732774    0.1362377061    0.1380423634    0.1398853501    0.1417637215
  0.1436745868    0.1456145646    0.1475803342    0.1495681024    0.1515736613
  0.1535922837    0.1556185609    0.1576461662    0.1596674988    0.1616731549
  0.1636511346    0.1655856597    0.1674550422    0.1692292774    0.1708658568
  0.1723043113    0.1734622690    0.1742467632    0.1746192523    0.1747323947
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000000
  0.1181308077    0.1181334670    0.1181415051    0.1181551023    0.1181745577
  0.1182002867    0.1182328181    0.1182727901    0.1183209455    0.1183781262
  0.1184452674    0.1185233907    0.1186135971    0.1187170595    0.1188350146
  0.1189687557    0.1191196239    0.1192890010    0.1194772257    0.1196875845
  0.1199206892    0.1201779927    0.1204609507    0.1207710149    0.1211096282
  0.1214782193    0.1218781987    0.1223109548    0.1227778509    0.1232802226
  0.1238193754    0.1243965832    0.1250130866    0.1256700921    0.1263687711
  0.1271102587    0.1278956534    0.1287260156    0.1296023671    0.1305256891
  0.1314969207    0.1325169571    0.1335866463    0.1347067864    0.1358781219
  0.1371013393    0.1383770628    0.1397058490    0.1410878126    0.1425239347
