  0.0000000000    0.4550000000 
  0.0100000000    0.1000000000    174    199 
  0.1632110918    0.1631615580    0.1630132427    0.1627669845    0.1624235397
  0.1619854671    0.1614544557    0.1608327222    0.1601225574    0.1593262191
  0.1584458368    0.1574833412    0.1564403975    0.1553183677    0.1541182835
  0.1528408337    0.1514863632    0.1500548820    0.1485460826    0.1469593641
  0.1452938631    0.1435494104    0.1417232406    0.1398146189    0.1378220618
  0.1357440417    0.1335790297    0.1313255290    0.1289820955    0.1265473351
  0.1240198736    0.1213982883    0.1186809960    0.1158660907    0.1129511282
  0.1099328555    0.1068068853    0.1035673046    0.1002086863    0.0967174081
  0.0930814274    0.0892834394    0.0853011282    0.0811055778    0.0766588008
  0.0719095870    0.0667861098    0.0611837822    0.0549287110    0.0477320185
  0.0390899129    0.0282544231    0.0138220523   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
  0.1674268460    0.1673940027    0.1672955540    0.1671317409    0.1669029553
  0.1666097266    0.1662527034    0.1658326316    0.1653503305    0.1648061433
  0.1642018136    0.1635378433    0.1628150796    0.1620343243    0.1611963079
  0.1603016780    0.1593509857    0.1583446762    0.1572830826    0.1561664236
  0.1549948030    0.1537682131    0.1524865412    0.1511495783    0.1497570303
  0.1483085329    0.1468036672    0.1452419786    0.1436239401    0.1419475185
  0.1402129952    0.1384200016    0.1365682380    0.1346574879    0.1326876262
  0.1306586196    0.1285705174    0.1264234302    0.1242174949    0.1219528260
  0.1196294521    0.1172472379    0.1148057934    0.1123043634    0.1097417434
  0.1071161216    0.1044249745    0.1016649307    0.0988316224    0.0959218788
  0.0929257577    0.0898360830    0.0866426724    0.0833331137    0.0798922076
  0.0763011269    0.0725361246    0.0685663271    0.0643502175    0.0598311963
  0.0549196121    0.0494820256    0.0433022812    0.0360367883    0.0271881079
  0.0157249737   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
  0.1710083031    0.1709849172    0.1709147859    0.1707979880    0.1706346533
  0.1704249593    0.1701691282    0.1698674224    0.1695201388    0.1691276034
  0.1686901643    0.1682081856    0.1676820400    0.1671119636    0.1664985663
  0.1658420973    0.1651428940    0.1644012710    0.1636175143    0.1627918768
  0.1619245752    0.1610157873    0.1600656508    0.1590742630    0.1580416813
  0.1569679253    0.1558529797    0.1546967987    0.1534993111    0.1522604269
  0.1509800448    0.1496580607    0.1482943770    0.1468889125    0.1454416124
  0.1439524591    0.1424214817    0.1408497649    0.1392357975    0.1375805568
  0.1358843553    0.1341475804    0.1323706903    0.1305542046    0.1286986908
  0.1268047447    0.1248729670    0.1229039337    0.1208981628    0.1188560706
  0.1167779548    0.1146639223    0.1125126632    0.1103261124    0.1081025394
  0.1058409388    0.1035399344    0.1011985760    0.0988123723    0.0963796483
  0.0938970117    0.0913632225    0.0887697757    0.0861126438    0.0833854881
  0.0805809102    0.0776901807    0.0747029146    0.0716065187    0.0683853821
  0.0650196215    0.0614831337    0.0577421785    0.0537436659    0.0494155602
  0.0446479770    0.0392728081    0.0330359688    0.0255553690    0.0159383280
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
 -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000   -1.0000000000
